DEBUG 2025-03-31 14:47:56,692 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\db\models\functions\__init__.py first seen with mtime 1740739842.5215895
DEBUG 2025-03-31 14:47:56,692 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\html\parser.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,692 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\zipfile\_path\glob.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,692 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\contrib\staticfiles\__init__.py first seen with mtime 1740739842.4587057
DEBUG 2025-03-31 14:47:56,692 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\PIL\TiffTags.py first seen with mtime 1740740057.535163
DEBUG 2025-03-31 14:47:56,692 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\sqlparse\filters\right_margin.py first seen with mtime 1740739840.84356
DEBUG 2025-03-31 14:47:56,692 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\template\__init__.py first seen with mtime 1740739842.5532782
DEBUG 2025-03-31 14:47:56,692 autoreload File D:\website\bakery_order_system\orders\__init__.py first seen with mtime 1732455040.9628246
DEBUG 2025-03-31 14:47:56,692 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\contrib\admin\actions.py first seen with mtime 1740739841.068297
DEBUG 2025-03-31 14:47:56,692 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\utils\inspect.py first seen with mtime 1740739842.5735652
DEBUG 2025-03-31 14:47:56,692 autoreload File D:\website\bakery_order_system\orders\apps.py first seen with mtime 1732455040.9668272
DEBUG 2025-03-31 14:47:56,692 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\urllib3\util\proxy.py first seen with mtime 1740743817.2886834
DEBUG 2025-03-31 14:47:56,692 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\contrib\postgres\utils.py first seen with mtime 1740739842.19025
DEBUG 2025-03-31 14:47:56,692 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\contrib\contenttypes\views.py first seen with mtime 1740739841.4802105
DEBUG 2025-03-31 14:47:56,693 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\email\errors.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,693 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\numbers.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,693 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\contrib\messages\api.py first seen with mtime 1740739842.184266
DEBUG 2025-03-31 14:47:56,693 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\views\generic\dates.py first seen with mtime 1740739842.5837252
DEBUG 2025-03-31 14:47:56,693 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\sqlparse\engine\__init__.py first seen with mtime 1740739840.841565
DEBUG 2025-03-31 14:47:56,693 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\utils\log.py first seen with mtime 1740739842.5745628
DEBUG 2025-03-31 14:47:56,693 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\contrib\auth\decorators.py first seen with mtime 1740739841.3819628
DEBUG 2025-03-31 14:47:56,693 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\asyncio\base_tasks.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,693 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\conf\__init__.py first seen with mtime 1740739840.9502058
DEBUG 2025-03-31 14:47:56,693 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\contrib\admin\templatetags\base.py first seen with mtime 1740739841.2921884
DEBUG 2025-03-31 14:47:56,693 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\email\mime\base.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,693 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\rest_framework\utils\representation.py first seen with mtime 1740739844.224038
DEBUG 2025-03-31 14:47:56,693 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\contrib\__init__.py first seen with mtime 1740739841.068297
DEBUG 2025-03-31 14:47:56,693 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\core\wsgi.py first seen with mtime 1740739842.4637208
DEBUG 2025-03-31 14:47:56,694 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\debug_toolbar\apps.py first seen with mtime 1743409870.1756935
DEBUG 2025-03-31 14:47:56,694 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\core\cache\backends\__init__.py first seen with mtime 1740739842.46472
DEBUG 2025-03-31 14:47:56,694 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\contrib\staticfiles\finders.py first seen with mtime 1740739842.4587057
DEBUG 2025-03-31 14:47:56,694 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\re\_compiler.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,694 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\asyncio\runners.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,694 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\asyncio\windows_events.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,694 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\debug_toolbar\panels\versions.py first seen with mtime 1743409870.2121532
DEBUG 2025-03-31 14:47:56,694 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\contrib\sessions\backends\base.py first seen with mtime 1740739842.3259242
DEBUG 2025-03-31 14:47:56,694 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\socket.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,694 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\core\validators.py first seen with mtime 1740739842.4637208
DEBUG 2025-03-31 14:47:56,694 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\wsgiref\simple_server.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,694 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\hashlib.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,694 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\debug_toolbar\panels\sql\utils.py first seen with mtime 1743409870.2162488
DEBUG 2025-03-31 14:47:56,694 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\importlib\resources\_functional.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,695 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\email\mime\multipart.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,695 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\contrib\contenttypes\forms.py first seen with mtime 1740739841.4792123
